id,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7,miembros
0,52,38,12,82,33,75,64,76,4
1,26,4,82,5,11,47,38,6,4
2,100,54,25,12,27,82,10,89,3
3,2,95,1,96,32,6,40,31,2
4,53,1,47,93,26,3,46,16,4
5,32,59,12,3,60,26,35,50,4
6,88,4,1,3,91,32,39,57,2
7,25,11,52,48,10,17,88,50,5
8,18,60,1,12,89,33,16,10,4
9,1,88,39,50,26,18,96,47,7
10,96,92,8,5,67,12,57,34,7
11,19,75,39,44,2,68,53,89,7
12,52,98,53,1,39,67,87,24,6
13,54,52,25,53,1,60,10,12,2
14,45,25,34,38,88,16,1,4,2
15,22,4,82,10,5,58,75,1,2
16,46,50,1,17,52,74,7,21,3
17,47,52,74,5,4,40,79,61,4
18,75,87,74,38,52,13,10,4,3
19,3,12,5,1,7,26,49,44,2
20,3,88,17,68,32,73,25,1,6
21,56,1,45,69,31,4,80,38,5
22,61,33,1,82,60,10,92,17,6
23,19,82,18,73,11,68,3,94,3
24,75,95,24,4,38,52,3,1,6
25,16,11,12,53,3,98,25,61,3
26,58,95,4,25,66,62,53,94,2
27,38,95,1,43,88,39,9,4,4
28,81,27,54,21,45,67,33,2,5
29,89,8,1,82,80,67,54,11,4
30,68,53,57,52,75,44,47,5,3
31,74,7,82,59,68,57,3,9,3
32,24,75,15,53,45,28,29,10,3
33,32,96,1,54,4,61,97,44,3
34,46,52,40,17,15,67,59,18,3
35,31,87,98,61,19,88,95,65,3
36,47,33,82,4,1,10,52,26,6
37,15,81,82,87,88,74,8,34,2
38,13,68,1,26,47,3,66,46,5
39,10,9,59,35,1,90,81,96,4
40,25,81,82,8,73,31,24,52,6
41,31,5,92,45,35,59,32,17,8
42,81,89,45,12,80,5,94,1,8
43,11,1,7,40,15,12,4,55,2
44,49,1,32,45,46,82,24,60,2
45,5,82,46,55,81,48,60,33,4
46,15,88,67,52,82,10,1,26,3
47,45,19,1,38,27,94,66,80,4
48,32,5,21,54,52,53,1,79,4
49,33,45,4,17,54,88,55,40,2
50,67,50,43,5,95,56,54,29,6
51,28,26,67,75,54,23,39,52,2
52,33,53,76,70,81,10,4,26,2
53,37,22,1,66,12,89,5,29,4
54,94,69,73,25,26,49,39,80,3
55,91,2,6,54,45,16,89,59,3
56,12,1,80,10,75,49,11,82,5
57,31,1,95,32,82,92,74,38,4
58,74,32,61,39,80,26,59,84,4
59,39,15,5,27,25,88,13,45,4
60,1,98,88,28,54,17,97,79,2
61,18,15,19,96,28,59,17,54,4
62,1,39,68,33,82,40,89,24,6
63,31,73,54,63,22,67,14,89,5
64,3,12,47,29,94,31,81,38,3
65,47,87,20,17,2,53,57,6,5
66,1,66,82,39,25,81,47,53,8
67,1,94,45,21,10,73,35,54,5
68,89,85,78,58,18,48,27,67,7
69,5,22,94,75,64,25,73,68,4
70,32,1,11,5,7,100,10,3,3
71,11,46,71,39,27,49,23,22,4
72,66,38,26,35,52,6,96,68,3
73,10,52,18,22,23,1,67,33,3
74,82,28,66,61,47,87,56,6,4
75,53,52,16,1,26,56,58,42,4
76,46,79,98,24,61,47,66,40,4
77,20,31,12,72,79,61,81,38,4
78,52,53,66,67,47,25,10,54,5
79,1,37,82,61,35,4,45,42,7
80,18,47,10,1,52,74,61,19,2
81,17,1,4,54,39,87,14,89,4
82,32,8,11,1,47,35,94,81,4
83,88,59,14,53,52,68,12,26,2
84,9,13,73,39,43,6,26,11,6
85,54,10,28,39,16,21,5,45,3
86,29,1,45,53,14,88,8,92,3
87,25,68,73,38,43,89,54,36,2
88,57,75,83,34,12,73,1,94,4
89,23,17,68,12,14,39,75,28,2
90,54,52,17,33,26,75,96,1,6
91,17,54,33,1,67,8,4,24,4
92,85,1,74,37,19,89,63,4,2
93,5,33,39,1,73,10,43,69,3
94,47,10,73,96,45,94,78,1,3
95,24,53,68,32,74,25,73,89,4
96,75,1,88,31,58,13,41,67,6
97,96,24,48,89,36,1,77,57,4
98,3,1,11,73,26,89,31,28,4
99,39,23,18,88,61,22,46,66,3
100,39,5,80,1,19,75,88,94,6
101,53,96,17,9,49,18,1,74,2
102,31,29,13,46,89,24,1,94,7
103,68,12,18,33,87,89,73,60,7
104,47,46,33,52,3,17,25,73,2
105,12,17,45,26,22,19,15,6,4
106,34,30,17,31,3,12,13,46,4
107,12,41,33,54,46,39,82,6,3
108,34,32,51,47,1,99,29,59,5
109,17,75,95,48,68,9,22,80,5
110,67,22,24,23,70,9,47,43,6
111,68,1,35,94,17,44,26,4,4
112,60,13,31,89,43,34,27,74,3
113,18,37,58,1,95,19,5,53,4
114,15,20,37,5,100,70,33,52,6
115,22,17,1,15,74,9,38,40,4
116,77,79,19,80,25,72,40,31,4
117,94,1,19,31,13,5,69,8,6
118,69,73,16,81,45,44,11,38,4
119,4,19,10,53,67,3,73,31,4
120,56,89,95,28,97,40,44,59,4
121,17,54,87,4,38,25,6,66,3
122,24,4,14,47,95,52,23,1,6
123,95,22,32,18,4,46,67,13,4
124,14,38,7,18,26,1,22,87,5
125,47,58,8,83,3,23,29,1,3
126,3,40,24,88,68,45,33,56,5
127,2,42,36,27,95,74,14,53,8
128,56,12,72,69,89,68,17,1,6
129,17,43,32,61,46,100,14,79,7
130,16,82,59,53,49,99,20,1,6
131,11,81,12,60,31,9,67,27,4
132,76,74,36,24,26,3,40,7,2
133,54,40,20,73,5,14,17,7,4
134,18,96,26,17,95,1,43,49,8
135,5,33,18,2,87,11,89,1,6
136,88,1,40,53,45,82,89,13,3
137,82,26,8,1,96,54,53,46,2
138,59,2,11,28,80,16,5,46,5
139,89,11,32,8,46,10,18,24,3
140,61,1,13,81,59,52,40,32,6
141,89,4,3,82,61,31,19,45,4
142,26,37,29,85,33,10,15,73,3
143,38,28,17,1,15,8,89,26,3
144,28,5,12,1,24,87,59,61,4
145,18,61,25,73,40,48,26,29,2
146,64,61,42,36,67,96,94,82,3
147,28,24,7,39,14,27,59,40,5
148,63,94,25,4,3,16,8,32,4
149,61,40,87,38,66,46,18,81,4
150,60,19,95,72,61,12,52,87,4
151,3,95,2,19,61,88,52,4,6
152,88,40,68,1,82,96,32,19,2
153,3,12,73,40,35,92,74,87,2
154,25,61,91,99,82,33,75,94,4
155,100,79,27,1,36,63,60,47,2
156,95,74,44,67,3,41,49,20,5
157,87,61,54,29,49,66,9,30,3
158,13,95,49,25,45,3,33,1,6
159,3,45,55,9,49,11,67,53,6
160,40,28,14,7,16,75,10,31,2
161,47,60,43,46,1,12,49,24,4
162,68,86,15,17,29,97,16,46,5
163,84,30,15,27,88,45,5,26,4
164,18,1,10,21,47,73,5,12,6
165,1,33,97,7,26,38,80,18,7
166,14,84,44,22,51,25,38,29,4
167,95,93,1,23,21,73,5,86,4
168,19,73,13,89,67,84,26,66,4
169,67,17,52,5,84,12,75,73,5
